C1,C2,C3,C4,C5,C6
B,3.0,3.0,DD산,nan,1.045586647384515
E,1.0,,A산,a,-0.1956183666766703
E,,,DD산,a,0.05200775997322416
D,2.0,1.0,바다2,nan,-0.036650085668084885
E,2.0,1.0,A산,a,0.7432679709444687
F,3.0,1.0,A산,b,-0.557625657668328
C,3.0,2.0,바다B,nan,1.0210447256638582
C,2.0,,산2,nan,0.6472767145860925
E,2.0,1.0,바다B,c,0.4830474482647749
B,2.0,,A산,a,-0.3781173524400078
E,2.0,,산1,a,0.5885959922284673
F,3.0,2.0,계곡1,nan,-0.5156415064671027
A,2.0,2.0,DD산,c,1.782694024282385
D,2.0,,바다1G,nan,-1.6133476575818786
F,2.0,,산2,c,0.8195702052322373
C,2.0,1.0,산1,b,0.8392725015205649
C,3.0,,바다1G,a,1.0746702448213692
D,,2.0,A산,b,-0.6991444899525964
F,2.0,2.0,산1,c,-2.3917661267704604
B,2.0,,DD산,nan,0.1388115002103549
A,,,산1,nan,1.1803423568629614
D,1.0,3.0,산2,a,1.1398792137386153
D,,1.0,바다2,c,-0.411030933745637
B,,,계곡1,nan,-2.2987626694890833
E,,,계곡1,c,-0.28760312299157914
B,,2.0,계곡1,nan,-1.0564243811412664
E,3.0,,산1,nan,-0.25194835694209067
B,1.0,1.0,DD산,nan,0.04903981091203956
D,2.0,1.0,계곡1,nan,-0.17118581014538767
C,,2.0,산1,a,-0.11937364241815897
F,1.0,,바다1G,a,0.8815970083728157
D,,3.0,산1,a,0.8187378772129712
E,1.0,3.0,DD산,nan,0.9542910879487229
D,2.0,3.0,산2,c,-0.7097603497220185
B,2.0,1.0,A산,b,0.6041941888719669
F,2.0,,바다2,a,-1.305101756208879
F,3.0,2.0,산1,b,-0.09193764071755575
B,1.0,,산1,a,0.9790598381422966
C,2.0,,계곡1,nan,0.5579091484610696
F,3.0,1.0,계곡1,a,0.7262786482391258
C,2.0,,바다1G,nan,0.6362523295824725
D,1.0,,산1,a,1.531078645958253
F,3.0,3.0,바다1G,b,-0.842604956998714
A,,2.0,바다2,b,0.895566524908716
C,2.0,3.0,A산,nan,-1.028581239088674
A,,,바다1G,nan,-1.2824005424316285
C,3.0,,바다2,b,-1.4642748095760039
B,1.0,,바다1G,nan,1.1705682810047788
F,,2.0,바다B,b,0.00274587750279085
F,1.0,,A산,nan,0.7694119113312021
F,2.0,,산1,a,0.4959289109445367
B,1.0,2.0,A산,a,-0.10029406437330385
E,1.0,1.0,DD산,c,-0.6605347073407309
F,2.0,1.0,바다2,nan,2.198163817236925
F,,,바다1G,c,0.5069881575063572
F,2.0,3.0,산1,b,0.5852942872635283
A,2.0,2.0,계곡1,nan,-1.9514536138644454
D,2.0,,DD산,nan,0.32549891918167645
C,1.0,1.0,바다1G,a,0.2189841430208958
A,2.0,3.0,바다2,a,-0.5567210850347233
D,2.0,3.0,DD산,nan,-0.1700199601157563
C,3.0,2.0,산2,b,-0.343183553865778
F,,,바다2,nan,1.0397960824191463
F,1.0,,바다B,b,-0.3958919300971931
E,2.0,2.0,산1,b,-0.9893524681530418
D,3.0,,계곡1,nan,0.4905397403619026
F,3.0,,바다2,a,1.587609421121319
A,1.0,2.0,산1,c,0.6284175773706454
C,3.0,,산2,a,1.1095515326387373
B,3.0,1.0,계곡1,nan,-0.6370496109051087
B,2.0,1.0,DD산,nan,-2.28311692693561
F,,1.0,바다2,nan,0.877812439979706
E,3.0,1.0,바다B,nan,-0.9417341030119043
A,1.0,,바다1G,b,-0.7632203278567077
D,1.0,3.0,바다B,nan,-0.0238309210725395
C,,,계곡1,a,0.9292051151206154
C,3.0,3.0,바다B,nan,-0.7887151781585985
