상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,대지구분명,지번본번지,지번주소,도로명,건물본번지,도로명주소,경도,위도
포인트수학교습소,학문/교육,학원-보습교습입시,학원-입시,부산광역시,해운대구,우3동,우동,대지,1388,부산광역시 해운대구 우동 1388-10,부산광역시 해운대구 해운대해변로,83,부산광역시 해운대구 해운대해변로 83,129.142346080989,35.1616639337822
탠디롯데센텀시티점,생활서비스,광고/인쇄,인쇄종합,부산광역시,해운대구,우2동,우동,대지,1496,부산광역시 해운대구 우동 1496,부산광역시 해운대구 센텀남대로,59,부산광역시 해운대구 센텀남대로 59,129.131099324358,35.1698729034813
포인트,소매,의복의류,일반의류,부산광역시,부산진구,당감4동,당감동,대지,278,부산광역시 부산진구 당감동 278-7,부산광역시 부산진구 당감로,27,부산광역시 부산진구 당감로 27-1,129.039365530722,35.1641866868545
봉가네도가니탕,음식,한식,부대찌개/섞어찌개,부산광역시,사하구,다대2동,다대동,대지,1582,부산광역시 사하구 다대동 1582-24,부산광역시 사하구 다송로72번길,43,부산광역시 사하구 다송로72번길 43,128.981850954004,35.0602295603261
돼지야돼지야,음식,한식,갈비/삼겹살,부산광역시,사상구,주례2동,주례동,대지,60,부산광역시 사상구 주례동 60-20,부산광역시 사상구 가야대로,376,부산광역시 사상구 가야대로 376,129.013681391854,35.151027596563
미인업,생활서비스,이/미용/건강,비만/피부관리,부산광역시,해운대구,반여1동,반여동,대지,1632,부산광역시 해운대구 반여동 1632,부산광역시 해운대구 반여로,131,부산광역시 해운대구 반여로 131,129.123372591357,35.2034761996767
인아트,생활서비스,광고/인쇄,인쇄종합,부산광역시,부산진구,부전2동,부전동,대지,503,부산광역시 부산진구 부전동 503-15,부산광역시 부산진구 가야대로,772,부산광역시 부산진구 가야대로 772,129.056437700996,35.1568098468641
극동세탁,생활서비스,세탁/가사서비스,세탁소/빨래방,부산광역시,사상구,학장동,학장동,대지,571,부산광역시 사상구 학장동 571-4,부산광역시 사상구 학감대로,109,부산광역시 사상구 학감대로 109-43,128.987837750945,35.1394236866403
창성전기,소매,가정/주방/인테리어,조명기구/전기용품,부산광역시,부산진구,개금3동,개금동,대지,299,부산광역시 부산진구 개금동 299-2,부산광역시 부산진구 개금온정로26번가길,5,부산광역시 부산진구 개금온정로26번가길 5,129.026474848264,35.1560037627781
부산맘,학문/교육,학원기타,학원(종합),부산광역시,해운대구,우2동,우동,대지,1468,부산광역시 해운대구 우동 1468,부산광역시 해운대구 센텀서로,30,부산광역시 해운대구 센텀서로 30,129.128462304753,35.1720788458596
