학년,과목,동아리,신청월
3,his,B,12
1,eng,B,7
2,his,B,5
2,eng,"B,C",9
1,mat,B,4
1,mat,"A,C",5
1,mat,A,9
3,mat,"A,B",8
1,mat,"A,B,C",4
3,eng,"A,C",6
2,eng,C,11
2,his,A,1
3,his,"A,C",9
2,eng,"A,C",9
1,mat,"B,C",4
1,eng,B,11
2,eng,"A,B,C",5
1,his,"B,C",12
1,eng,"A,B",8
2,his,"B,C",3
1,mat,"A,C",10
1,his,"B,C",11
2,his,"A,B",2
2,eng,"A,B,C",2
3,mat,"B,C",8
1,mat,"B,C",7
2,his,A,5
3,his,B,6
3,mat,"A,C",1
2,eng,"B,C",12
3,eng,B,3
1,eng,B,12
3,mat,A,8
2,eng,"A,B",5
1,eng,"A,B",7
2,eng,C,9
1,eng,"A,B,C",9
1,mat,C,11
3,eng,A,2
2,mat,B,4
2,eng,A,4
1,eng,"A,C",5
3,his,A,2
1,mat,"B,C",11
2,his,"A,B",10
2,mat,B,4
3,his,"A,C",5
2,his,A,2
1,eng,"B,C",1
1,mat,"A,C",3
2,mat,"A,B",3
2,mat,"A,C",11
1,eng,"A,B,C",3
1,mat,"A,B",7
3,mat,"A,C",6
3,his,"A,B",1
2,his,B,10
2,eng,"A,B",3
3,his,"A,B",11
3,his,"A,B,C",3
1,eng,A,3
3,mat,"A,C",11
3,his,"A,B,C",5
1,eng,"B,C",3
3,his,C,10
3,mat,"A,B,C",1
3,his,"B,C",3
2,his,A,1
2,mat,"B,C",4
1,eng,B,3
1,eng,"A,B",8
2,eng,"A,C",11
2,his,"A,C",8
3,mat,B,11
3,eng,"A,B",7
1,mat,"A,C",2
1,his,"B,C",5
1,his,"B,C",8
1,mat,"A,B",5
3,his,"A,B",1
2,his,"A,B",9
2,eng,"A,C",10
1,mat,"A,C",4
2,eng,C,5
1,eng,B,8
1,mat,A,10
1,mat,"B,C",4
2,eng,"A,B",11
3,eng,"A,B",10
1,his,"A,C",5
3,his,"A,B,C",12
1,eng,C,7
3,eng,"A,B,C",4
3,mat,"A,C",11
3,his,"A,B,C",2
1,mat,"A,B",8
1,mat,"A,B,C",7
2,mat,"A,B,C",7
1,mat,A,3
2,eng,"A,C",11
1,mat,"A,B,C",11
2,eng,"A,B",11
2,eng,B,7
2,eng,"A,C",7
1,his,"B,C",11
2,his,C,5
1,eng,"A,B",7
3,eng,"A,B,C",8
1,eng,"A,B,C",9
2,mat,"B,C",8
3,his,"A,B",7
3,eng,"A,B",7
1,mat,A,12
1,eng,A,7
3,his,"A,B",8
1,mat,"A,B",11
2,mat,A,7
3,eng,"A,B",8
3,mat,A,11
3,mat,"A,C",1
3,mat,A,8
2,his,B,4
1,mat,A,8
3,eng,C,6
2,eng,A,1
3,his,B,11
3,his,"A,B",3
3,his,"A,C",4
1,mat,"A,B,C",5
3,mat,"A,C",12
3,his,"A,B,C",8
1,mat,C,8
1,eng,A,7
2,eng,B,5
2,his,"A,C",4
2,eng,A,9
3,mat,"B,C",10
2,mat,"A,C",8
3,mat,"B,C",3
1,eng,"A,C",2
2,eng,"A,B,C",10
1,mat,"A,B,C",8
2,eng,A,5
2,his,"A,C",2
1,eng,"B,C",12
3,his,"A,B",12
3,mat,"A,B",2
3,his,C,8
2,eng,"A,B,C",11
1,mat,"A,B",6
1,mat,"A,B,C",12
2,eng,"A,B,C",8
2,his,B,3
2,his,"A,C",11
3,mat,"A,B,C",10
2,his,B,9
2,eng,"A,B,C",7
3,mat,A,10
3,his,"B,C",4
1,his,"A,C",4
1,eng,"A,B",12
1,eng,"A,C",2
1,mat,A,5
3,his,"A,B",12
1,his,"A,B",1
2,his,"A,B",4
3,his,"A,B,C",8
2,eng,A,5
3,eng,C,4
2,mat,A,9
2,his,B,1
1,mat,"A,B,C",11
3,mat,"A,C",8
3,his,"B,C",6
1,mat,"A,C",11
3,mat,"A,C",5
1,his,"A,C",4
3,his,"A,B,C",2
2,eng,A,2
1,mat,"A,C",7
3,his,"A,C",3
1,eng,A,5
2,eng,B,6
3,mat,"B,C",5
1,mat,"B,C",4
1,mat,A,1
3,his,B,4
1,mat,"A,B,C",1
3,his,"B,C",12
3,his,"A,C",10
3,his,"A,C",7
3,mat,"A,C",3
3,his,"B,C",12
1,eng,"A,B",4
3,his,"B,C",2
1,eng,A,10
1,mat,"A,B",9
3,mat,A,11
2,eng,"B,C",10
2,eng,A,6
3,eng,"A,B,C",5
1,eng,"B,C",9
1,mat,"A,B,C",12
1,mat,A,5
1,eng,B,4
1,mat,"A,C",2
2,eng,"B,C",10
1,eng,A,1
2,eng,B,4
2,eng,C,4
2,his,A,8
3,mat,B,9
1,mat,"A,B",3
2,eng,"A,B,C",8
3,his,"B,C",5
3,his,A,11
3,his,"B,C",5
2,eng,A,12
3,his,"A,C",2
3,eng,"A,C",2
2,eng,"A,C",11
3,eng,"A,B",7
1,eng,"A,C",5
3,his,"A,B",12
3,eng,"A,C",1
2,mat,B,9
1,his,"B,C",10
1,his,"A,B,C",6
2,his,"A,B",11
1,eng,"A,B,C",3
1,eng,"A,C",2
3,mat,"A,B",10
1,mat,"B,C",3
2,eng,B,7
1,mat,"A,C",11
3,eng,A,11
2,mat,"A,B",4
1,eng,B,1
1,mat,B,10
3,eng,A,5
3,eng,"A,C",12
3,his,"A,B",4
1,eng,"A,B",10
1,mat,A,2
3,eng,A,2
2,eng,"B,C",8
3,his,"A,B,C",12
2,his,B,3
1,his,"B,C",5
2,mat,"A,C",2
3,mat,"A,C",6
3,eng,"B,C",11
2,eng,"A,B",3
3,eng,"A,B,C",12
