,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
406366,네일스토리,생활서비스,이/미용/건강,발/네일케어,서울특별시,구로구,구로3동,구로동,서울특별시 구로구 디지털로32가길 16,126.898569433791,37.4829412435677
102255,위치캔들,소매,종합소매점,생활용품판매,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로3가길 21,126.930149587971,37.5582073631772
257261,카페쎄리오,음식,커피점/카페,커피전문점/카페/다방,서울특별시,동대문구,휘경1동,휘경동,서울특별시 동대문구 망우로 71,127.061167647844,37.5900115269824
244604,현대세탁,생활서비스,세탁/가사서비스,세탁소/빨래방,서울특별시,구로구,개봉2동,개봉동,서울특별시 구로구 개봉로20길 158,126.860722956998,37.4920343000528
233089,미아현대비너스,소매,의복의류,셔츠/내의/속옷,서울특별시,성북구,길음2동,길음동,서울특별시 성북구 동소문로 315,127.028725560472,37.6083915431599
278725,부부횟집,음식,일식/수산물,횟집,서울특별시,동대문구,장안2동,장안동,서울특별시 동대문구 장한로 198,127.072435208073,37.5780716563557
261591,엠텍비전서비스센터,생활서비스,개인/가정용품수리,가전제품수리,서울특별시,금천구,독산3동,독산동,서울특별시 금천구 남부순환로 1428,126.909435851096,37.4805731749087
179111,형제천막사,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,서울특별시,성동구,행당1동,행당동,서울특별시 성동구 왕십리로 267,127.037874451069,37.558440572443
315336,참시원마취통증의학과의원,의료,병원,기타병원,서울특별시,성북구,종암동,종암동,서울특별시 성북구 종암로 122,127.033938040896,37.6011899695769
125731,S에스테틱,생활서비스,이/미용/건강,비만/피부관리,서울특별시,강남구,논현2동,논현동,서울특별시 강남구 학동로 338,127.040121454072,37.5164879458357
313187,TRY,소매,의복의류,셔츠/내의/속옷,서울특별시,동작구,사당2동,사당동,서울특별시 동작구 동작대로29길 32-1,126.980224043895,37.4882245885924
192707,대흥정육점,소매,음/식료품소매,정육점,서울특별시,마포구,대흥동,대흥동,서울특별시 마포구 대흥로28길 8,126.946376202198,37.555262719167
168080,봅스보브헤어샵,생활서비스,이/미용/건강,여성미용실,서울특별시,성북구,돈암1동,돈암동,서울특별시 성북구 동소문로34길 24,127.02311765704,37.5989834587914
222163,루이엔젤,소매,의복의류,일반의류,서울특별시,강남구,논현1동,논현동,서울특별시 강남구 논현로131길 30,127.027878262465,37.5141441909188
208091,국제일호디앤씨,부동산,분양,건물분양-종합,서울특별시,강남구,역삼2동,역삼동,서울특별시 강남구 테헤란로28길 11,127.039014889971,37.5004491896868
309213,이쁜생선,소매,음/식료품소매,수산물소매,서울특별시,종로구,창신2동,창신동,서울특별시 종로구 창신5길 6,127.010974419621,37.5735630746101
64991,국제전기,소매,가정/주방/인테리어,조명기구/전기용품,서울특별시,중랑구,면목2동,면목동,서울특별시 중랑구 중랑천로10길 90-13,127.078238492004,37.5922184774056
15292,완성미싱,소매,기타판매업,미싱판매,서울특별시,중구,광희동,을지로6가,서울특별시 중구 장충단로13길 34,127.00689695444,37.5686001384251
174229,한중문화교육교류원,학문/교육,학원기타,학원(종합),서울특별시,강남구,논현1동,논현동,서울특별시 강남구 도산대로8길 17,127.022392261054,37.5158649739687
126719,시온공인중개,부동산,부동산중개,부동산중개,서울특별시,강동구,상일동,상일동,서울특별시 강동구 구천면로 658,127.170907425142,37.5506554064733
119573,혜미네,소매,가방/신발/액세서리,액세서리판매,서울특별시,중구,회현동,남창동,서울특별시 중구 남대문시장4길 21,126.977639243073,37.5591777824993
270900,쪼끼쪼끼,음식,유흥주점,호프/맥주,서울특별시,노원구,중계2.3동,중계동,서울특별시 노원구 동일로203가길 29,127.064245152134,37.6399175500813
353413,성인용품퀵배달무료24시,소매,기타판매업,성인용품판매,서울특별시,강북구,송중동,미아동,서울특별시 강북구 월계로 7,127.031052956127,37.6097081713752
193185,가야분식,음식,분식,라면김밥분식,서울특별시,동대문구,회기동,회기동,서울특별시 동대문구 회기로19길 17,127.052815330513,37.5923595919222
317779,메종드보니,소매,의복의류,여성의류전문점,서울특별시,강서구,방화2동,방화동,서울특별시 강서구 하늘길 38,126.802937461062,37.5713574580352
340654,녹다베이커리,음식,제과제빵떡케익,제과점,서울특별시,동작구,신대방2동,신대방동,서울특별시 동작구 보라매로 65,126.927169949974,37.4952154015294
138694,멍멍아놀자,의료,수의업,동물병원,서울특별시,금천구,독산4동,독산동,서울특별시 금천구 독산로 258,126.90277674256,37.4697169493445
355417,피자연합,음식,패스트푸드,피자전문,서울특별시,관악구,조원동,신림동,서울특별시 관악구 시흥대로160길 36,126.901827323249,37.480520719925
73605,드림TCA역삼,소매,기타판매업,통신판매,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 역삼로 161,127.036638931151,37.4952397555723
354173,폰피부관리,생활서비스,이/미용/건강,비만/피부관리,서울특별시,양천구,신월1동,신월동,서울특별시 양천구 곰달래로13길 12-1,126.837094757639,37.5310172666559
39127,우성세탁소,생활서비스,세탁/가사서비스,세탁소/빨래방,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 능동로1길 15,127.065530224365,37.5326673908153
32505,비엔나노래연습장,관광/여가/오락,무도/유흥/가무,노래방,서울특별시,강북구,수유1동,수유동,서울특별시 강북구 도봉로 253,127.023967433154,37.6310133607282
276841,마리헤어,생활서비스,이/미용/건강,여성미용실,서울특별시,노원구,상계5동,상계동,서울특별시 노원구 한글비석로 444,127.068470315288,37.6636031540089
20944,현대식당,음식,한식,한식/백반/한정식,서울특별시,금천구,독산1동,독산동,서울특별시 금천구 범안로 1209,126.896262531894,37.4668179719467
342127,테라공인중개사사무소,부동산,부동산중개,부동산중개,서울특별시,강서구,가양1동,마곡동,서울특별시 강서구 강서로 455,126.84033038221,37.5660902741985
125337,호수,음식,유흥주점,호프/맥주,서울특별시,도봉구,도봉1동,도봉동,서울특별시 도봉구 도봉로 733,127.043272527489,37.6698978981102
164646,곱창의난,음식,한식,곱창/양구이전문,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로42길 2,127.090378415788,37.5493146253271
112340,프로24시당구클럽,관광/여가/오락,PC/오락/당구/볼링등,당구장,서울특별시,중구,청구동,신당동,서울특별시 중구 다산로 156,127.012453453108,37.5575729147614
301169,다이소화곡대림점,소매,종합소매점,생활용품판매,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 월정로30길 21,126.83706632244,37.5343057661016
345693,이레음악학원,학문/교육,학원-음악미술무용,피아노/바이올린/기타,서울특별시,성동구,왕십리2동,하왕십리동,서울특별시 성동구 무학봉길 64-18,127.029869652504,37.5603934127725
190578,인스패스솔루템,소매,사무/문구/컴퓨터,컴퓨터/주변기기,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 청파로 77,126.960850349137,37.5333514753031
123406,비알코리아FAVORLT,음식,양식,정통양식/경양식,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 강남대로 426,127.026742303313,37.5005739774375
145984,대진쎌타침대,소매,가구소매,일반가구소매,서울특별시,은평구,불광2동,불광동,서울특별시 은평구 통일로82길 11,126.920360765462,37.620812180307
199241,월드컵,음식,유흥주점,룸살롱/단란주점,서울특별시,강남구,압구정동,신사동,서울특별시 강남구 선릉로161길 7,127.039602582389,37.5269629681387
249249,동경스시,음식,일식/수산물,음식점-초밥전문,서울특별시,강남구,역삼2동,역삼동,서울특별시 강남구 논현로76길 7,127.039386464187,37.4970462206168
286634,미미옷방,소매,의복의류,여성의류전문점,서울특별시,마포구,신수동,현석동,서울특별시 마포구 신수로 29,126.934037010281,37.5443304615028
108032,태평양중국식품,소매,음/식료품소매,식료품점,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 동일로18길 62,127.066039645647,37.5389968068445
19189,팡팡노래방,관광/여가/오락,무도/유흥/가무,노래방,서울특별시,구로구,고척1동,고척동,서울특별시 구로구 경서로 82-2,126.860838199379,37.5038030271813
275590,그린바이크커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 구의강변로 38,127.091875120386,37.534152413939
297127,박선희한복,소매,의복의류,한복/갈옷/민속옷,서울특별시,강남구,논현2동,논현동,서울특별시 강남구 논현로132길 9,127.031179896106,37.5151264346738
136725,레보딕스,소매,사무/문구/컴퓨터,사무/문구용품,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로78길 44,127.10988340294,37.5507427688594
58478,종암고려분식,음식,분식,라면김밥분식,서울특별시,성북구,종암동,종암동,서울특별시 성북구 종암로 56,127.037028640533,37.5951241912977
38302,송이족발,음식,한식,족발/보쌈전문,서울특별시,양천구,신정4동,신정동,서울특별시 양천구 은행정로 47,126.859152519838,37.5238979726567
36573,쵸코퐁듀,음식,패스트푸드,패스트푸드,서울특별시,종로구,이화동,동숭동,서울특별시 종로구 대학로12길 69,127.003947215614,37.5809916471523
211158,올케어동물영상센터,의료,수의업,동물병원,서울특별시,강서구,등촌3동,등촌동,서울특별시 강서구 공항대로 335,126.844900918927,37.5581879835391
179511,마임화장품건강식품,소매,건강/미용식품,건강식품판매,서울특별시,성동구,왕십리도선동,도선동,서울특별시 성동구 왕십리로 352-1,127.031024266917,37.5638809315881
16590,거성공인중개사사무소,부동산,부동산중개,부동산중개,서울특별시,도봉구,방학1동,방학동,서울특별시 도봉구 도당로 116,127.039834964694,37.6666082332918
153454,대전슈퍼,소매,종합소매점,수퍼마켓,서울특별시,도봉구,창3동,창동,서울특별시 도봉구 우이천로4길 36,127.041411689283,37.6338955257744
49791,에비뉴학원,학문/교육,학원-보습교습입시,학원-입시,서울특별시,동작구,상도1동,상도1동,서울특별시 동작구 강남초등길 24,126.951956121172,37.5051151702707
338954,엠에스존강남터미널,소매,가방/신발/액세서리,기능성신발판매,서울특별시,서초구,반포3동,잠원동,서울특별시 서초구 신반포로 177,127.003393697161,37.5060919747862
167908,참참식당,음식,분식,라면김밥분식,서울특별시,구로구,개봉1동,개봉동,서울특별시 구로구 고척로21나길 2,126.845478417135,37.5031222837336
269759,길동산곰장어,음식,일식/수산물,곰장어전문,서울특별시,강동구,길동,길동,서울특별시 강동구 진황도로 94,127.136592950327,37.5359655553996
143659,이수어패럴,소매,의복의류,일반의류,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 자양번영로 77,127.076380294804,37.5363839917668
49985,여주농산,소매,음/식료품소매,청과물소매,서울특별시,성북구,장위3동,장위동,서울특별시 성북구 한천로86길 19,127.060039867361,37.6148532835945
